city,city_bis,city_nospace,city_nospace_bis,city_formatted
fontaine le puits,fontaine le puits,fontainelepuits,fontainelepuits,Fontaine-Le-Puits
montmelian,montmelian,montmelian,montmelian,Montmelian
myans,myans,myans,myans,Myans
saint alban de montbel,st alban de montbel,saintalbandemontbel,stalbandemontbel,Saint-Alban-De-Montbel
la ravoire,la ravoire,laravoire,laravoire,La-Ravoire
bonvillaret,bonvillaret,bonvillaret,bonvillaret,Bonvillaret
saint thibaud de couz,st thibaud de couz,saintthibauddecouz,stthibauddecouz,Saint-Thibaud-De-Couz
peisey nancroix,peisey nancroix,peiseynancroix,peiseynancroix,Peisey-Nancroix
arith,arith,arith,arith,Arith
drumettaz clarafond,drumettaz clarafond,drumettazclarafond,drumettazclarafond,Drumettaz-Clarafond
lucey,lucey,lucey,lucey,Lucey
feissons sur salins,feissons sur salins,feissonssursalins,feissonssursalins,Feissons-Sur-Salins
sainte marie de cuines,ste marie de cuines,saintemariedecuines,stemariedecuines,Sainte-Marie-De-Cuines
lanslevillard,lanslevillard,lanslevillard,lanslevillard,Lanslevillard
venthon,venthon,venthon,venthon,Venthon
saint baldoph,st baldoph,saintbaldoph,stbaldoph,Saint-Baldoph
mouxy,mouxy,mouxy,mouxy,Mouxy
saint pierre d albigny,st pierre d albigny,saintpierredalbigny,stpierredalbigny,Saint-Pierre-D-Albigny
aillon le jeune,aillon le jeune,aillonlejeune,aillonlejeune,Aillon-Le-Jeune
hauteluce,hauteluce,hauteluce,hauteluce,Hauteluce
verthemex,verthemex,verthemex,verthemex,Verthemex
saint offenge dessous,st offenge dessous,saintoffengedessous,stoffengedessous,Saint-Offenge-Dessous
la compote,la compote,lacompote,lacompote,La-Compote
chambery,chambery,chambery,chambery,Chambery
planay,planay,planay,planay,Planay
rochefort,rochefort,rochefort,rochefort,Rochefort
la chapelle,la chapelle,lachapelle,lachapelle,La-Chapelle
belmont tramonet,belmont tramonet,belmonttramonet,belmonttramonet,Belmont-Tramonet
cevins,cevins,cevins,cevins,Cevins
domessin,domessin,domessin,domessin,Domessin
attignat oncin,attignat oncin,attignatoncin,attignatoncin,Attignat-Oncin
bessans,bessans,bessans,bessans,Bessans
arbin,arbin,arbin,arbin,Arbin
barby,barby,barby,barby,Barby
challes les eaux,challes les eaux,challesleseaux,challesleseaux,Challes-Les-Eaux
serrieres en chautagne,serrieres en chautagne,serrieresenchautagne,serrieresenchautagne,Serrieres-En-Chautagne
saint nicolas la chapelle,st nicolas la chapelle,saintnicolaslachapelle,stnicolaslachapelle,Saint-Nicolas-La-Chapelle
saint beron,st beron,saintberon,stberon,Saint-Beron
saint paul sur isere,st paul sur isere,saintpaulsurisere,stpaulsurisere,Saint-Paul-Sur-Isere
presle,presle,presle,presle,Presle
la chapelle blanche,la chapelle blanche,lachapelleblanche,lachapelleblanche,La-Chapelle-Blanche
la biolle,la biolle,labiolle,labiolle,La-Biolle
saint alban des hurtieres,st alban des hurtieres,saintalbandeshurtieres,stalbandeshurtieres,Saint-Alban-Des-Hurtieres
aime,aime,aime,aime,Aime
tresserve,tresserve,tresserve,tresserve,Tresserve
esserts blay,esserts blay,essertsblay,essertsblay,Esserts-Blay
bellecombe en bauges,bellecombe en bauges,bellecombeenbauges,bellecombeenbauges,Bellecombe-En-Bauges
montvernier,montvernier,montvernier,montvernier,Montvernier
conjux,conjux,conjux,conjux,Conjux
saint jean d arvey,st jean d arvey,saintjeandarvey,stjeandarvey,Saint-Jean-D-Arvey
albens,albens,albens,albens,Albens
detrier,detrier,detrier,detrier,Detrier
saint pierre de curtille,st pierre de curtille,saintpierredecurtille,stpierredecurtille,Saint-Pierre-De-Curtille
allondaz,allondaz,allondaz,allondaz,Allondaz
montaimont,montaimont,montaimont,montaimont,Montaimont
billieme,billieme,billieme,billieme,Billieme
jacob bellecombette,jacob bellecombette,jacobbellecombette,jacobbellecombette,Jacob-Bellecombette
cessens,cessens,cessens,cessens,Cessens
avressieux,avressieux,avressieux,avressieux,Avressieux
